,0
0,2498.893
1,2316.3416
2,2433.7395
3,2478.1455
4,2541.4585
5,2438.905
6,2324.9895
7,2378.109
8,2334.3752
9,2334.9688
10,2252.5676
11,2102.153
12,2071.4702
13,2048.9224
14,2062.1877
15,1920.2705
16,1979.1304
17,2195.732
18,2227.449
19,2248.875
20,2121.4275
21,2153.3457
22,2159.9968
23,2319.734
24,2212.3374
25,2171.0002
26,2065.4963
27,1951.5724
28,1961.5773
29,1961.4208
30,1918.9607
31,1915.2407
32,2028.0972
33,1869.7565
34,1800.1165
35,1780.4865
36,1995.904
37,1855.8707
38,1880.2117
39,1869.8406
40,1905.6744
41,1978.1193
42,2085.8003
43,2356.9146
44,2667.7844
45,3057.5667
46,2700.474
47,2874.7722
48,3234.5469
49,3016.9482
50,3284.446
51,2948.856
52,2893.8896
53,2703.9143
54,2675.7354
55,2440.14
56,2413.2188
57,2437.7883
58,2541.8357
59,2567.9263
60,2550.5564
61,2528.1375
62,2352.8923
63,2278.6116
64,2366.4763
65,2385.733
66,2376.8855
67,2139.2786
68,2125.5093
69,2392.4492
70,2278.704
71,2229.0115
72,2309.0303
73,2208.875
74,2068.2847
75,2120.5725
76,2197.0613
77,2206.5637
78,2225.5989
79,2135.5918
80,2087.9612
81,2026.8573
82,1966.5923
83,2001.4624
84,2027.8018
85,1894.1989
86,1914.8829
87,1874.987
88,1971.031
89,2015.3292
90,2049.1104
91,2039.1812
92,2212.7437
93,2089.3945
94,2536.8137
95,2248.713
96,2064.3896
97,1913.151
98,1859.8175
99,1787.2711
100,1782.1062
101,1855.1528
102,2035.2832
103,1929.4904
104,1734.7197
105,1801.1082
106,1871.3745
107,1727.7175
108,1728.3844
109,1874.2168
110,2113.0776
111,2166.6443
112,2356.706
113,2177.0798
114,2121.027
115,2022.6416
116,1982.1671
117,1903.8667
118,1793.1663
119,1784.1776
120,1792.8203
121,1741.8007
122,1810.1932
123,1868.0846
124,1840.2856
125,1846.4928
126,1857.5577
127,1859.2451
128,1845.509
129,1822.0068
130,1827.6763
131,1811.0895
132,1806.673
133,1804.6721
134,1943.9957
135,1903.9799
136,1820.0978
137,1775.6581
138,1875.6235
139,1956.8527
140,1777.0961
141,1777.0961
142,1777.7258
143,1750.349
144,1707.5502
145,1729.6854
146,1729.3303
147,1577.4598
148,1584.2556
149,1671.0104
150,1725.5739
151,1750.4082
152,1657.4363
153,1655.6134
154,1585.3319
155,1578.7294
156,1664.2167
157,1709.0
158,1696.1475
159,1716.8514
160,1885.9976
161,1675.4875
162,1652.1641
163,1623.8818
164,1662.8984
165,1716.673
166,1738.1342
167,1716.2073
168,1730.7539
169,1719.2803
170,1737.2356
171,1684.3733
172,1691.8315
173,1668.8983
174,1675.4392
175,1699.1914
176,1629.0647
177,1614.9172
178,1671.7817
179,1801.1082
180,1801.1082
181,1801.1082
182,1570.0377
183,1505.4777
184,1593.3813
185,1513.8746
186,1545.7681
187,1512.905
188,1493.9701
189,1452.6019
190,1469.0054
191,1395.3816
192,1432.7562
193,1527.6809
194,1444.0049
195,1674.0447
196,1467.0908
197,1499.1869
198,1405.9117
199,1567.365
200,1507.5096
201,1467.0869
202,1461.5183
203,1450.6815
204,1470.0448
205,1387.2361
206,1347.1871
207,1382.028
208,1371.0963
209,1394.6525
210,1360.0762
211,1345.841
212,1265.1173
213,1420.9344
214,1249.518
215,1233.2662
216,1075.843
217,1939.4642
218,1303.0173
219,1200.146
220,1214.6462
221,1178.5619
222,1239.4818
223,1235.7524
224,1167.3365
225,1153.0702
226,1117.114
227,1207.6919
228,1158.8112
229,1176.4348
230,1154.6671
231,1154.5311
232,1090.5381
233,1085.8301
234,1165.5627
235,1005.7212
236,1214.5726
237,1253.7441
238,1274.9938
239,1235.4591
240,1206.3794
241,1194.6973
242,1167.0316
243,1214.5044
244,1158.7668
245,1358.6942
246,1483.3693
247,1554.722
248,1471.301
249,1547.011
250,1330.1676
251,1314.0983
252,1269.3834
253,1371.6316
254,1337.1193
255,1268.16
256,1515.0457
257,1815.0223
258,1824.9468
259,1751.7196
260,1836.1173
261,1671.8846
262,1709.8832
263,1657.483
264,1704.8429
265,1777.9261
266,1700.1371
267,1692.388
268,1720.0702
269,1587.416
270,1719.8655
271,1681.9363
272,1678.4884
273,1687.805
274,1632.3436
275,1611.3912
276,1539.3918
277,1566.488
278,1580.3081
279,1615.0042
280,1606.9153
281,1615.2477
282,1565.9138
283,1474.6405
284,1541.6865
285,1590.8373
286,1556.1829
287,1587.0863
288,1701.8176
289,1746.3077
290,1689.2958
291,1771.7355
292,1659.0211
293,1713.2052
294,1705.0647
295,1686.853
296,1727.3207
297,1789.6359
298,1718.4443
299,1694.44
300,1744.5847
301,1655.9893
302,1681.355
303,1686.2993
304,1709.4032
305,1709.661
306,1700.8917
307,1657.0574
308,1721.4122
