,0
0,4104.1475
1,4014.8972
2,4365.844
3,4281.9595
4,3985.5073
5,4235.3613
6,4138.7
7,4664.5635
8,4889.379
9,4970.1885
10,5160.7656
11,5191.637
12,5717.9517
13,5738.337
14,5913.9473
15,6068.4062
16,6565.75
17,6537.1978
18,6580.9956
19,6701.332
20,6912.041
21,6722.6533
22,6437.1294
23,6756.0215
24,6763.6836
25,6848.016
26,7583.558
27,7478.3945
28,7780.268
29,7411.8374
30,7468.661
31,7181.914
32,6764.4272
33,7036.265
34,6730.758
35,6805.8306
36,6938.4785
37,7105.872
38,7394.0254
39,7214.9033
40,7093.0938
41,6640.746
42,7222.0107
43,7230.761
44,7286.298
45,7074.597
46,7298.054
47,7454.5776
48,7286.3853
49,7215.221
50,7242.509
51,7575.901
52,7601.808
53,7487.962
54,7958.8765
55,7983.183
56,7855.118
57,8074.967
58,8089.5454
59,8051.317
60,8162.699
61,8159.7026
62,8079.2617
63,8056.7515
64,8039.422
65,8049.4663
66,8123.1367
67,8845.842
68,8753.459
69,8996.215
70,9170.655
71,8978.217
72,8762.553
73,9400.835
74,10051.975
75,9834.682
76,10317.579
77,10503.261
78,10289.244
79,10449.785
80,9850.256
81,9376.852
82,9150.917
83,9524.833
84,9112.281
85,8976.236
86,9068.3
87,9648.733
88,9367.977
89,9409.906
90,9146.715
91,9571.032
92,9902.123
93,9511.046
94,9922.395
95,9841.506
96,9923.69
97,10050.071
98,9663.936
99,9465.507
100,9127.746
101,9398.102
102,9629.244
103,9390.219
104,9159.382
105,8373.814
106,8470.223
107,8168.83
108,8169.709
109,8278.107
110,7946.149
111,8400.841
112,8216.672
113,8606.129
114,8331.61
115,7928.5107
116,8071.536
117,8095.0845
118,8116.7847
119,8310.846
120,8324.204
121,8717.231
122,9121.503
123,8526.349
124,9021.489
125,8610.885
126,8513.623
127,8546.779
128,8712.879
129,8488.3125
130,8526.548
131,8559.113
132,8362.845
133,8708.896
134,8720.805
135,8817.121
136,8673.83
137,8724.969
138,9090.357
139,8894.884
140,8761.717
141,8877.868
142,8185.597
143,8197.746
144,8247.082
145,8068.789
146,8077.5107
147,8652.357
148,8026.9663
149,8043.4795
150,7769.1455
151,7954.507
152,7759.2964
153,8243.448
154,8047.844
155,8186.4033
156,8214.369
157,8576.149
158,7568.2974
159,7991.618
160,7742.205
161,7953.6245
162,7353.301
163,7459.3965
164,7479.337
165,7456.021
166,7451.4927
167,7349.4897
168,7400.623
169,7361.879
170,7331.0483
171,7138.5957
172,6641.3325
173,5725.462
174,5417.426
175,4901.28
176,5110.2793
177,5758.3022
178,5582.0483
179,5186.774
180,5116.7944
181,5177.645
182,5338.6777
183,5102.9805
184,4452.2905
185,3777.9482
186,3270.2993
187,3695.9255
188,3778.876
189,4175.867
190,4475.481
191,4693.0513
192,4511.5405
193,4569.301
194,3981.8552
195,4061.6282
196,4264.174
197,4252.3013
198,4044.3147
199,3713.4177
200,3801.5322
201,3649.5847
202,3333.4612
203,3151.4124
204,2758.27
205,2857.7378
206,2883.2615
207,2923.5525
208,2907.169
209,3014.7595
210,2994.199
211,3100.1865
212,2945.4583
213,2899.3496
214,2900.0938
215,2949.9158
216,3156.8276
217,3348.0352
218,3369.5557
219,3331.7124
220,3255.987
221,3462.6528
222,3437.1606
223,3397.6619
224,3299.3977
225,3181.9768
226,3205.0022
227,3364.8948
228,3336.1155
229,3308.4631
230,3241.233
231,3320.2751
232,3439.1912
233,3321.2212
234,3446.999
235,3730.5806
236,4108.467
237,4022.6902
238,3854.1116
239,3810.4226
240,3895.1177
241,3526.2363
242,3599.677
243,3692.5322
244,3790.8652
245,3828.4001
246,4127.326
247,3916.8457
248,3849.1287
249,3798.3267
250,3778.641
251,3689.7246
252,3703.5957
253,3904.9634
254,3942.825
255,3986.2312
256,3926.903
257,4101.5015
258,4066.827
259,4576.3145
260,4519.392
261,4477.823
262,4397.153
263,4188.972
264,4291.5894
265,3965.359
266,3936.2917
267,3646.5828
268,3654.6362
269,3604.029
270,3627.005
271,3314.6436
272,3334.4492
273,3629.149
274,3584.1794
275,3792.4736
276,4095.4856
277,4010.6633
278,4010.7815
279,3786.1582
280,3700.103
281,3848.915
282,3723.8174
283,3814.4717
284,3741.1135
285,3958.5388
286,3974.51
287,4280.3047
288,4876.0884
289,5120.405
290,5071.9805
291,5026.397
292,5042.7354
293,5270.1445
294,6159.4424
295,5807.112
296,5594.1177
297,6260.8477
298,6177.946
299,6134.578
300,6122.4937
301,6630.1123
302,6991.2446
303,7030.751
304,7031.006
305,6654.2114
306,6779.044
307,7008.875
308,7068.5107
309,8151.3105
310,9040.372
311,9416.135
312,9102.032
313,9375.499
314,9423.467
315,9160.143
316,9745.537
317,10034.771
318,9662.864
319,9397.3
320,9374.383
321,9854.182
322,9910.618
323,9969.757
324,10034.262
325,10493.442
326,10709.071
327,10185.739
328,9655.96
329,9805.419
330,9913.268
331,10005.443
332,9521.18
333,9524.311
334,9953.597
335,10222.371
336,10520.509
337,10270.717
338,10146.838
339,10324.949
340,10273.243
341,10446.905
342,10753.65
343,9847.562
344,9989.266
345,9836.315
346,9333.687
347,9311.8125
348,9012.025
349,9196.711
350,8719.214
351,8246.451
352,8420.839
353,8698.88
354,7947.434
355,7727.7676
356,7777.8247
357,7941.2637
358,8009.423
359,8508.281
360,8404.14
361,8077.307
362,7949.179
363,7116.2305
364,6710.4897
365,7055.857
366,7437.494
367,7042.0024
368,7190.893
369,7335.544
370,7060.6235
371,7364.593
372,7231.0034
373,7245.3984
374,7237.8423
375,7458.4097
376,8419.357
377,8063.1113
378,7952.5527
379,8030.928
380,7765.9346
381,7507.6636
382,7496.677
383,7569.8203
384,7608.233
385,7832.9717
386,7779.4517
387,7832.7065
388,6798.1475
