,0
0,132.09276
1,133.61635
2,145.17412
3,130.82721
4,134.77956
5,131.07886
6,129.59344
7,129.8053
8,129.75987
9,131.5483
10,131.92047
11,132.08226
12,132.7124
13,131.99516
14,131.05812
15,131.87112
16,132.99852
17,131.9341
18,131.09889
19,132.51804
20,134.40276
21,134.5267
22,135.14844
23,136.75261
24,136.00076
25,136.06088
26,139.15103
27,141.02179
28,138.80399
29,139.5653
30,143.16354
31,141.37766
32,142.21964
33,143.83067
34,145.83418
35,147.72177
36,154.06706
37,161.32681
38,169.38124
39,153.69432
40,147.97295
41,150.2041
42,147.6976
43,151.32292
44,149.9091
45,150.25177
46,152.88446
47,157.25122
48,162.60136
49,177.16997
50,165.35358
51,162.60886
52,165.52968
53,170.09395
54,181.5587
55,177.29701
56,170.24597
57,180.5245
58,167.53943
59,170.55464
60,170.59212
61,164.22418
62,163.0798
63,168.06383
64,175.17369
65,163.21057
66,168.04076
67,168.90495
68,162.72012
69,157.69672
70,163.51892
71,161.34883
72,153.43422
73,155.96579
74,155.91927
75,156.75381
76,160.57187
77,159.11311
78,162.96645
79,159.99556
80,159.85927
81,160.93852
82,164.23572
83,157.94815
84,157.78825
85,163.51538
86,158.29163
87,153.83151
88,160.41846
89,152.15031
90,151.08875
91,154.8478
92,155.02003
93,153.68602
94,159.62605
95,150.16405
96,149.82281
97,150.61627
98,151.58464
99,153.21573
100,149.422
101,149.9359
102,150.83284
103,152.44884
104,152.85147
105,153.28209
106,155.01035
107,155.15889
108,156.42407
109,153.70772
110,154.79349
111,154.12575
112,156.96172
113,156.92139
114,152.62608
115,152.00406
116,154.62163
117,152.35611
118,153.47006
119,151.15234
120,147.30507
121,147.60716
122,152.15446
123,151.28682
124,153.43532
125,153.2839
126,158.9106
127,151.52095
128,151.47571
129,164.23581
130,148.35713
131,156.2513
132,149.25433
133,145.46826
134,153.91475
135,145.69823
136,142.25063
137,142.64435
138,141.02168
139,145.61847
140,139.87856
141,143.00075
142,139.0484
143,149.18901
144,138.33946
145,135.57373
146,142.7252
147,143.25017
148,133.49388
149,133.52377
150,147.31055
151,137.98999
152,143.18771
153,144.81238
154,135.85208
155,141.73973
156,134.0342
157,133.58527
158,132.16174
159,137.92877
160,136.0789
161,137.64793
162,138.02998
163,136.61374
164,137.19371
165,146.4361
166,143.9807
167,150.08812
168,154.18991
169,148.40639
170,145.76201
171,140.68484
172,141.42767
173,141.90663
174,143.9469
175,143.64214
176,140.04947
177,141.05615
178,141.643
179,140.82996
180,139.68506
181,139.50034
182,143.73862
183,138.43076
184,138.7578
185,139.84105
186,138.63374
187,139.0548
188,140.09328
189,139.93982
190,139.57204
191,138.44463
192,138.89294
193,140.19395
194,141.09901
195,201.31813
196,140.0223
197,145.7798
198,135.53888
199,136.5509
200,140.4657
201,139.14989
202,147.09082
203,137.5502
204,135.76566
205,139.93591
206,136.10956
207,135.91678
208,138.35023
209,136.29219
210,135.65482
211,136.77853
212,135.97311
213,136.3454
214,136.17693
215,137.77794
216,137.8484
217,135.50484
218,136.167
219,136.7282
220,137.75868
221,136.01726
222,134.31503
223,134.05441
224,135.02583
225,134.93172
226,135.46269
227,136.9188
228,136.4629
229,135.03284
230,135.72594
231,136.49556
232,135.9287
233,135.82185
234,135.83153
235,135.6061
236,138.86128
237,143.43428
238,134.20663
239,136.26802
240,136.19113
241,137.02806
242,137.9213
243,138.57487
244,138.71321
245,144.17262
246,142.18694
247,142.94125
248,147.45981
249,142.5351
250,145.32118
251,142.83614
252,139.61145
253,140.71526
254,141.20604
255,139.38216
256,137.0045
257,138.71913
258,138.65448
259,135.94856
260,140.48119
261,142.1806
262,137.57399
263,138.69849
264,137.7592
265,138.48376
266,143.8743
267,137.21011
268,141.511
269,136.55586
270,136.88881
271,137.76921
272,138.24785
273,135.70006
274,139.52464
275,136.30893
276,135.66191
277,134.99646
278,133.76933
279,136.89519
280,135.64503
281,133.75813
282,134.0709
283,134.16664
284,130.7032
285,137.93849
286,134.1232
287,133.16037
288,135.33937
289,133.67247
290,131.31642
291,132.72064
292,131.82489
293,136.90553
294,137.67879
295,145.29192
296,125.85467
297,126.73861
298,143.96645
299,125.92094
300,131.26674
301,125.860916
302,139.78365
303,127.80894
304,138.38017
305,126.02767
306,125.87698
307,129.62486
308,128.0256
309,128.18765
310,135.40182
311,126.38422
312,126.865364
313,130.61716
314,125.86158
315,126.67916
316,126.3281
317,126.7193
318,126.90965
319,128.04869
320,128.64935
321,130.26686
322,131.08469
323,137.73532
324,133.21825
325,128.61751
326,128.53732
327,128.08635
328,128.4239
329,132.65395
330,128.076
331,127.84026
332,127.08957
333,128.50104
334,127.64247
335,126.3845
336,127.970215
337,128.6196
338,126.08421
339,129.21756
340,163.61974
341,134.99002
342,134.02771
343,142.0557
344,138.04213
345,135.96811
346,151.50002
347,145.25331
348,132.27214
349,130.48053
350,129.75516
351,129.52257
352,129.64856
353,130.11542
354,130.27602
355,130.79716
356,131.3269
357,132.72675
358,135.24254
359,132.26166
360,130.85814
361,130.95668
362,132.04527
363,132.92525
364,132.82567
365,133.2192
366,133.94748
367,134.04474
368,135.04933
369,135.40988
370,136.13696
371,134.81073
372,136.35793
373,136.33023
374,135.90466
375,137.26622
376,134.3588
377,134.23709
378,140.21002
379,137.00575
380,137.64403
381,139.99754
382,137.62968
383,136.22478
384,134.85698
385,135.1155
386,133.46257
387,138.11865
388,134.32462
389,132.06439
390,133.12996
391,132.16403
392,132.64676
393,135.48253
394,133.02493
395,132.58673
396,135.66225
397,132.04204
398,132.43594
399,135.66373
400,129.64641
401,130.1527
402,130.94128
403,129.18904
404,130.47986
405,129.70357
406,128.22078
407,128.38301
408,130.7411
409,128.74251
410,129.20216
411,130.64442
412,126.83739
413,128.76538
414,126.4858
415,127.72051
416,126.885056
417,127.92745
418,127.35076
419,129.52856
420,129.68808
421,130.31787
422,132.29117
423,131.39008
424,128.74088
425,129.62506
426,131.59268
427,131.42682
428,132.34932
429,130.10197
430,129.5771
431,128.5408
432,130.23883
433,128.40999
434,128.05583
435,132.95895
436,132.61438
437,130.35896
438,130.99916
439,130.59918
440,129.90137
441,130.86758
442,135.12665
443,136.29843
444,132.20598
445,134.86394
446,132.49916
447,135.27635
448,133.46704
449,132.41301
450,133.11609
451,132.01381
452,132.77547
453,132.9847
454,132.1155
455,132.87262
456,133.9214
457,133.91478
458,134.45085
459,134.33897
460,133.17406
461,133.76671
462,132.53363
463,133.07976
464,133.52393
465,132.15515
466,132.6715
467,132.7246
468,133.35411
469,134.5879
470,133.5661
471,134.68115
472,134.97624
473,135.17651
474,136.46362
475,135.6385
476,136.01945
477,136.52296
478,137.32086
479,137.30327
480,136.62871
481,137.32686
482,138.59108
483,137.87671
484,136.4507
485,137.67268
486,137.84459
487,137.18237
488,137.64836
489,136.21954
490,140.72755
491,184.045
492,132.6969
493,132.17303
494,137.73698
495,132.28807
496,131.22612
497,133.68652
498,130.01248
499,130.22597
500,130.15317
501,132.65839
502,130.90096
503,131.92595
504,134.669
505,132.12126
506,130.61821
507,129.878
508,130.94849
509,131.21344
510,128.13597
511,130.34633
512,127.870155
513,128.50662
514,129.615
515,129.58267
516,128.7275
517,129.51727
518,130.2611
519,131.92233
520,130.70135
521,129.48004
522,129.64075
523,131.1506
524,131.55653
525,131.68555
526,132.30452
527,131.97595
528,133.71098
529,131.97624
530,132.65237
531,133.58914
532,134.75128
533,132.9394
534,133.11942
535,132.5282
536,133.23398
537,133.74754
538,134.64702
539,138.46294
540,132.37883
541,132.07932
542,132.86981
543,134.1693
544,132.54645
545,132.44186
546,133.56935
547,133.32083
548,132.31792
549,132.00108
550,133.22159
551,131.56136
552,130.3685
553,130.54018
554,132.92264
555,132.92302
556,128.54991
557,129.4706
558,130.5099
559,130.43964
560,131.07758
561,130.51385
562,130.57764
563,130.06035
564,130.26172
565,130.88403
566,131.37123
567,130.56462
568,130.49788
569,129.83476
570,130.64534
571,131.16591
572,132.2014
573,132.76898
574,133.10826
575,134.1569
576,135.47281
577,136.19603
578,136.33429
579,136.9207
580,138.07832
581,139.20695
582,141.85095
583,138.52153
584,139.96394
585,138.60829
586,139.9791
587,138.5189
588,140.33603
589,141.08748
590,142.51234
591,142.8298
592,143.13461
593,143.15645
594,142.84119
595,152.49536
596,145.3405
597,150.86975
598,136.59558
599,138.87286
600,146.92717
601,134.75958
602,134.36418
603,135.19992
604,136.85605
605,137.13612
606,134.97397
607,135.37622
608,136.33414
609,135.9206
610,135.80331
611,137.07115
612,136.17406
613,136.1834
614,139.18947
615,135.61891
616,134.51225
617,136.15327
618,135.68633
619,133.69716
620,134.53528
621,133.58174
622,132.57715
623,143.78911
624,139.80153
625,137.95471
626,133.42528
627,134.60489
628,134.0609
629,134.70543
630,135.92387
631,134.87933
632,135.5876
633,134.79004
634,134.84525
635,136.14241
636,138.43982
637,134.90984
638,133.16133
639,133.8477
640,134.09512
641,131.93605
642,132.37158
643,132.82758
644,133.04948
645,132.7133
646,133.74036
647,134.73846
648,132.3367
649,131.61407
650,132.2405
651,132.44382
652,133.11375
653,133.66583
654,135.21771
655,133.32999
656,134.12569
657,134.29459
658,134.87166
659,134.70042
660,134.62466
661,134.10318
662,134.60947
663,135.39505
664,136.18398
665,135.16412
666,135.33055
667,134.76183
668,134.83566
669,135.8478
670,135.95619
671,134.33478
672,135.04866
673,133.81444
674,133.46906
675,133.71051
676,133.27278
677,135.98819
678,132.0111
679,134.15787
680,132.4256
681,132.11731
682,135.1985
683,132.91986
684,132.27438
685,132.34961
686,130.08647
687,130.69772
688,129.47856
689,130.97784
690,132.53577
691,129.0314
692,128.42958
693,129.18423
694,129.73613
695,131.58157
696,132.48257
697,132.12941
698,132.30594
699,132.62315
700,130.96373
701,129.96239
702,130.5301
703,129.3475
704,129.75969
705,130.9635
706,129.8544
707,130.5521
708,131.2543
709,130.90652
710,131.38678
711,130.83646
712,127.77023
713,129.85541
714,127.72561
715,128.93787
716,129.63249
717,128.20943
718,128.64812
719,127.924545
